word,pronunciation,part of speech,explanation,etymology (comma-separated)
Amasnirian,Amasnirian,Verb,,
Amechnasneon,Amechnasneon,Noun,,
Amechnasnirian,Amechnasnirian,Verb,,
Amechnemsapiesasnirian,Amechnemsapiesasnirian,Verb,,
Amechnideon,Amechnideon,Adjective,,
Amemon,Amemon,Noun,,
Ameon,Ameon,Noun,,
Amerbidon,Amerbidon,Adjective,,
Amereon,Amereon,Noun,,
Amergeon,Amergeon,Noun,,
Amergideon,Amergideon,Adjective,,
Amergirian,Amergirian,Verb,,
Amergirideon,Amergirideon,Adjective,,
Amerideon,Amerideon,Adjective,,
Amerikeon,Amerikeon,Noun,,
Amerikideon,Amerikideon,Adjective,,
Amerikiopaon,Amerikiopaon,Noun,,
Amerikogeon,Amerikogeon,Noun,,
Amideon,Amideon,Adjective,,
Amikateon,Amikateon,Noun,,
Amikeon,Amikeon,Noun,,
Amikideon,Amikideon,Adjective,,
Amikirian,Amikirian,Verb,,
Amikiulideon,Amikiulideon,Adjective,,
Amin,Amin,Adverb,,
Amingemeon,Amingemeon,Adjective,,
Amirian,Amirian,Verb,,
Amplateon,Amplateon,Noun,,
Ampleon,Ampleon,Noun,,
Amplideon,Amplideon,Adjective,,
Amusasirian,Amusasirian,Verb,,
Amuseon,Amuseon,Noun,,
Amusideon,Amusideon,Adjective,,
Amusirian,Amusirian,Verb,,
Amusofeon,Amusofeon,Noun,,
Anbocheon,Anbocheon,Noun,,Anboch
Anbochirian,Anbochirian,Verb,,Anboch
Anborteon,Anborteon,Noun,Usado cuando no se refiere a una pregunta,Anbort
Anbortirian,Anbortirian,Verb,Usado cuando no se está contestando una pregunta,Anbort
Anbulanseon,Anbulanseon,Noun,,
Andoreon,Andoreon,Noun,,
Andoriopaon,Andoriopeon,Noun,,
Aneon,Aneon,Noun,,
Angilaheon,Angilaheon,Noun,,
Angilahideon,Angilahideon,Adjective,,
Angleon,Angleon,Noun,,
Anglideon,Anglideon,Adjective,,
Angliomeon,Angliomeon,Noun,,
Angliopaon,Angliopaon,Noun,,
Angoreon,Angoreon,Noun,,Angor
Angoriesideon,Angoriesideon,Adjective,,Angor
Angoririan,Angoririan,Verb,,Angor
Angormoneteon,Angormoneteon,Noun,,"Angor,monet"
Animaleon,Animaleon,Noun,,
Animalideon,Animalideon,Adjective,,
Anirian,Anirian,Verb,,
Ank,Ank,Preposition,,
Ankeon,Ankeon,Noun,,
Ankideon,Ankideon,Adjective,,
Ankin,Ankin,Adverb,,
Anshimadeon,Anshimadeon,Noun,,
Anshimadideon,Anshimadideon,Adjective,,
Anshimadirian,Anshimadirian,Verb,,
Anskaenideon,Anskaenideon,Adjective,,
Anskeon,Anskeon,Noun,,
Anuseon,Anuseon,Noun,,Anus
Anusideon,Anusideon,Adjective,,Anus
Anyagemsdaemandeon,Anyagemsdaemandeon,Noun,,
Anyagemsdaemandideon,Anyagemsdaemandideon,Adjective,,
Anyageon,Anyageon,Noun,,
Anyagideon,Anyagideon,Noun,,
Aos,Aos,Adjective,,
Aoyeon,Aoyeon,Noun,,
Aoyideon,Aoyideon,Adjective,,
Aparlenbatseon,Aparlenbatseon,Noun,,
Apeon,Apeon,Noun,,
Apleon,Apleon,Noun,,
Aplubaumeon,Aplubaumeon,Noun,,
Aponteon,Aponteon,Noun,,
Apreon,Apreon,Noun,,
Aprideon,Aprideon,Verb,,
Apririan,Apririan,Noun,,
Aprobeon,Aprobeon,Noun,,
Aprobirian,Aprobirian,Verb,,
Aprofeon,Aprofeon,Noun,,
Aprumonateon,Aprumonateon,Noun,,
Ara,Ara,Conjunction,,
Arabeon,Arabeon,Noun,,
Arabideon,Arabideon,Adjective,,
Arabiomeon,Arabiomeon,Noun,,
Aranemeon,Aranemeon,Noun,,
Araneon,Araneon,Noun,,
Aranseteon,Aranseteon,Noun,,
Aras,Aras,Adverb,,
Arasgoneon,Arasgoneon,Noun,,
Arasgonirian,Arasgonirian,Verb,,
Arastin,Arastin,Adverb,,
Aratadideon,Aratadideon,Adjective,,
Aratasneon,Aratasneon,Noun,,
Aratasnideon,Aratasnideon,Adjective,,
Aratasnirian,Aratasnirian,Verb,,
Arateon,Arateon,Noun,,
Aratirian,Aratirian,Verb,,
Arats,Arats,Adverb,,
Aratsin,Aratsin,Adverb,,
Ardeon,Ardeon,Noun,,
Aremeon,Aremeon,Noun,,
Aremideon,Aremideon,Adjective,,
Aremin,Aremin,Adverb,,
Argentineon,Argentineon,Noun,,
Argentiniopaon,Argentiniopeon,Noun,,
Argonatseon,Argonatseon,Noun,,
Arheon,Arheon,Noun,,
Arhformasnirian,Arhformasnirian,Verb,,
Arhformideon,Arhformideon,Adjective,,
Aribatseon,Aribatseon,Noun,,
Aribeon,Aribeon,Noun,,
Aribirian,Aribirian,Verb,,
Arideon,Arideon,Adjective,,
Arin,Arin,Adverb,,
Armeniyeon,Armeniyeon,Noun,,
Armeniyiomeon,Armeniyiomeon,Noun,,
Armeniyiopaon,Armeniyiopeon,Noun,,
Armofirian,Armofirian,Verb,,
Aroseon,Aroseon,Noun,,
Arosideon,Arosideon,Adjective,,
Arosirian,Arosirian,Verb,,
Artemaon,Artemaon,Noun,,
Artemeon,Artemeon,Noun,,
Arteon,Arteon,Noun,,
Artideon,Artideon,Adjective,,
Asdakeon,Asdakeon,Noun,,
Asdiyideon,Asdiyideon,Adjective,,
Asdiyin,Asdiyin,Adverb,,
Aserbaiyaneon,Aserbaiyaneon,Noun,,
Aserbaiyaniomeon,Aserbaiyaniomeon,Noun,,
Aserbaiyaniopaon,Aserbaiyaniopeon,Noun,,
Asfaum,Asfaum,Adverb,,
Asiideon,Asiideon,Adjective,,
Asiiopaon,Asiiopaon,Adjective,,
Asireon,Asireon,Noun,,
Askrin,Askrin,Adverb,,
Askroneon,Askroneon,Noun,,
Askronin,Askronin,Adverb,,
Askrun,Askrun,Adverb,,
Asneon,Asneon,Noun,,
Asnideon,Asnideon,Adjective,,
Asnirian,Asnirian,Verb,,
Asnofeon,Asnofeon,Noun,,
Aspilantin,Aspilantin,Adverb,,
Astan,Astan,Pronoun,,
Astas,Astas,Adverb,,
Astasdubarideon,Astasdubarideon,Adjective,,
Astaseon,Astaseon,Noun,,
Astasestradeon,Astasestradeon,Noun,,
Astasgurmestradeon,Astasgurmestradeon,Noun,,"Astas,gurm,estrad"
Astasin,Astasin,Adverb,,
Astaslengeon,Astaslengeon,Noun,,
Astaslengirian,Astaslengirian,Verb,,
Astel,Astel,Pronoun,,Astel
Astopar,Astopar,Adverb,,
Astopin,Astopin,Adverb,,
Astreon,Astreon,Noun,,
Astrernemaon,Astrernemaon,Noun,,
Astrerneon,Astrerneon,Noun,,
Astrernideon,Astrernideon,Adjective,,
Astrideon,Astrideon,Adjective,,
Atakemeon,Atakemeon,Noun,,
Atakemideon,Atakemideon,Adjective,,
Atakeon,Atakeon,Noun,,
Atakideon,Atakideon,Adjective,,
Atakirian,Atakirian,Verb,,
Atsel,Atsel,Pronoun,,
Atsfaum,Atsfaum,Adverb,,
Atskrin,Atskrin,Adverb,,
Atskrun,Atskrun,Adverb,,
Atsopar,Atsopar,Adverb,,"Ats,sopar"
Atsopin,Atsopin,Adverb,,
Augustusmonateon,Augustusmonateon,Noun,,
Ayaiyeon,Ayaiyeon,Noun,,
Aye,Aye,Pronoun,,
Ayeos,Ayeos,"Adjective, Adverb",,
Ayusteon,Ayusteon,Noun,,
Ayustirian,Ayustirian,Verb,,
Ba,Ba,Conjunction,,
Badirian,Badirian,Verb,,
Badofeon,Badofeon,Noun,,
Badrobeon,Badrobeon,Noun,,
Badrumeon,Badrumeon,Noun,,
Baerdeon,Baerdeon,Noun,,
Baerdideon,Baerdideon,Noun,,
Baerdugonatseon,Baerdugonatseon,Noun,,
Baerduhadabachemaon,Baerduhadabachemaon,Noun,,
Baerduhadabacheon,Baerduhadabacheon,Noun,,
Baerduhadabachideon,Baerduhadabachideon,Adjective,,
Baerduhlidateon,Baerduhlidateon,Noun,,
Bageon,Bageon,Noun,,
Bagneon,Bagneon,Noun,,
Bagnideon,Bagnideon,Adjective,,
Bahameon,Bahameon,Noun,,
Bahamiopaon,Bahamiopeon,Noun,,
Baishpilasneon,Baishpilasneon,Noun,,
Baishpilasnirian,Baishpilasnirian,Verb,,
Baishpileon,Baishpileon,Noun,,
Baishpilideon,Baishpilideon,Adjective,,
Bakeon,Bakeon,Noun,,
Bakideon,Bakideon,Adjective,,
Bakin,Bakin,Adverb,,
Baklagirian,Baklagirian,Noun,,
Baklasneon,Baklasneon,Noun,,
Baklasnirian,Baklasnirian,Verb,,
Bakleon,Bakleon,Noun,,
Baklideon,Baklideon,Adjective,,Bakl
Baklin,Blakin,Adverb,,Bakl
Baklubukeon,Baklubukeon,Noun,,
Baklupeon,Baklupeon,Noun,,
Baleon,Baleon,Noun,,
Balistemon,Balistemon,Noun,,
Balisteon,Balisteon,Noun,,
Balpideon,Balpideon,Noun,,
Bananeon,Bananeon,Noun,,
Banchadideon,Banchadideon,Adjective,,
Bancheon,Bancheon,Noun,,
Banchideon,Banchideon,Adjective,,
Banchirian,Banchirian,Verb,,
Banchumideon,Banchumideon,Adjective,,
Bangladesheon,Bangladesheon,Noun,,
Bangladeshiopaon,Bangladeshiopeon,Noun,,
Bankemon,Bankemon,Noun,,
Bankeon,Bankeon,Noun,,
Bankideon,Bankideon,Adjective,,
Banseon,Banseon,Noun,,
Barbadeon,Barbadeon,Noun,,
Barbadiopaon,Barbadiopeon,Noun,,
Barbikureon,Barbikureon,Noun,,
Bareineon,Bareineon,Noun,,
Bareiniopaon,Bareiniopeon,Noun,,
Baremeon,Baremeon,Noun,,
Barempikeon,Barempikeon,Noun,,
Bareon,Bareon,Noun,,
Baririan,Baririan,Verb,,
Barkambrupeon,Barkambrupeon,Noun,,
Barkandon,Barkandon,Noun,,
Barkbeiseon,Barkbeiseon,Noun,,
Barkeon,Barkeon,Noun,,
Barkideon,Barkideon,Adjective,,
Barkin,Barkin,Adverb,,
Barksakatseon,Barksakatseon,Noun,,
Barkupeon,Barkupeon,Noun,,
Barmeon,Barmeon,Noun,,
Barmideon,Barmideon,Adjective,,
Barmin,Barmin,Adverb,,
Barmirian,Barmirian,Verb,,
Barmumeon,Barmumeon,Noun,,
Barmumideon,Barmumideon,Adjective,,
Barsasnirian,Barsasnirian,Verb,,
Barseon,Barseon,Noun,,
Barsideon,Barsideon,Adjective,,
Barsin,Barsin,Adverb,,
Barsirian,Barsirian,Verb,,
Bas-haltatseon,Bas-haltatseon,Noun,,
Basdraboyeon,Basdraboyeon,Noun,,
Baseon,Baseon,Noun,,
Bashadideon,Bashadideon,Adjective,,
Basheon,Basheon,Noun,,
Bashirian,Bashirian,Verb,,
Bastumeon,Bastumeon,Noun,,
Bastumucheon,Bastumucheon,Noun,,
Batikanmatseon,Batikanmatseon,Noun,,
Batikanmatsiopaon,Batikanmatsiopeon,Noun,,
Bau,Bau,Preposition,,
Bauken?,Bauken?,Adverb,,"Bau,Ken"
Baumemon,Baumemon,Noun,,
Baumeon,Baumeon,Noun,,
Baumideon,Baumideon,Adjective,,
Baumupeon,Baumupeon,Noun,,
Baumupufogeon,Baumupufogeon,Noun,,
Baye,Baye,Conjunction,,
Beabatseon,Beabatseon,Noun,,Beab
Beabirian,Beabirian,Verb,,Beab
Beabiulon,Beabiulon,Noun,,Beab
Beabofeon,Beabofeon,Noun,,Beab
Bedeon,Bedeon,Noun,,
Bedukaosofeon,Bedukaosofeon,Noun,,
Befelasnirian,Befelasnirian,Verb,,Befel
Befeleon,Befeleon,Noun,Informática,Befel
Befeligeon,Befeligeon,Noun,Digita,"Befel,ig"
Befelupeon,Befelupeon,Noun,,Befel
Begasnirian,Begasnirian,Verb,,
Begemeon,Begemeon,Noun,,"beg,em"
Begeon,Begeon,Noun,,
Begideon,Begideon,Adjective,,
Begin,Begin,Adverb,,
Begirian,Begirian,Verb,,
Beiseon,Beiseon,Noun,,
Beisideon,Beisideon,Adjective,,
Beisirian,Beisirian,Verb,,
Belaruseon,Belaruseon,Noun,,
Belarusiomeon,Belarusiomeon,Noun,,
Belarusiopaon,Belarusiopeon,Noun,,
Belbadeon,Belbadeon,Noun,,
Belbadideon,Belbadideon,Adjective,,
Belbemaon,Belbemaon,Noun,,
Belbeon,Belbeon,Noun,,
Belberbideon,Belberbideon,Adjective,,
Belbingideon,Belbingideon,Adjective,,
Belbirian,Belbirian,Verb,,Belb
Belbiuleon,Belbiuleon,Noun,,
Belbiulideon,Belbiulideon,Adjective,,
Belgiyeon,Belgiyeon,Noun,,
Belgiyiopaon,Belgiyiopeon,Noun,,
Beliseon,Beliseon,Noun,,
Belisiopaon,Belisiopeon,Noun,,
Belosipedemaon,Belosipedemaon,Noun,,
Belosipedeon,Belosipedeon,Noun,,
Belosipedirian,Belosipedirian,Verb,,
Belosipeduboyeon,Belosipeduboyeon,Noun,,
Belteon,Belteon,Noun,,
Benesaleon,Benesaleon,Noun,,
Benesaliopaon,Benesaliopeon,Noun,,
Benpatseon,Benpatseon,Noun,,
Benpeon,Benpeon,Noun,,
Benpupeon,Benpupeon,Noun,,
Bensemeon,Bensemeon,Noun,,
Bensemeon,Bensemeon,Noun,,
Bensemideon,Bensemideon,Adjective,,
Benseon,Benseon,Noun,,
Bensirian,Bensirian,Verb,,
Benuseon,Benuseon,Noun,,
Beremeon,Beremeon,Noun,,
Beremideon,Beremideon,Adjective,,
Bereon,Bereon,Adjective,,
Berideon,Berideon,Adjective,,
Berin,Berin,Adverb,,
Berkosadideon,Berkosadideon,Adjective,,
Berkosemaon,Berkosemaon,Noun,,
Berkoseon,Berkoseon,Noun,,
Berkosirian,Berkosirian,Verb,,
Berneon,Berneon,Noun,,
Bernideon,Bernideon,Adjective,,
Bernisideon,Bernisideon,Adjective,,Bernis
Bernisirian,Bernisirian,Verb,,Bernis
Berukereon,Berukereon,Noun,,
Berukeringeon,Berukeringeon,Noun,,
Berukeririan,Berukeririan,Verb,,
Besteon,Besteon,Noun,,
Bestideon,Bestideon,Adjective,,
Bestin,Bestin,Adverb,,
Bideon,Bideon,Noun,,
Biechnameon,Biechnameon,Noun,,
Biechnamiomeon,Biechnamiomeon,Noun,,
Biechnamiopaon,Biechnamiopeon,Noun,,
Bikieralkeon,Bikieralkeon,Noun,,
Bikiereon,Bikiereon,Noun,,
Bikineon,Bikineon,Noun,,
Bileteon,Bileteon,Noun,,
Bileturatseon,Bileturatseon,Noun,,
Bileturemaon,Bileturemaon,Noun,,
Bilmoneteon,Bilmoneteon,Noun,,
Bilmonetonteon,Bilmonetonteon,Noun,,
Bilnemeon,Bilnemeon,Noun,,
Bilneon,Bilneon,Noun,,
Bilnideon,Bilnideon,Adjective,,
Bipeon,Bipeon,Noun,,
Biponteon,Biponteon,Noun,,
Biradasnirian,Biradasnirian,Verb,,Bir
Biradeon,Biradeon,Noun,,Bir
Biradideon,Biradideon,Adjective,,Bir
Biraseon,Biraseon,Noun,,Bir
Birasirian,Birasirian,Verb,,Bir
Birasnemeon,Birasnemeon,Noun,,Bir
Birasnirian,Birasnirian,Verb,,Bir
Biremeon,Biremeon,Noun,,Bir
Biremeon,Biremeon,Noun,,Bir
Bireon,Bireon,Noun,,Bir
Birerbemeon,Birerbemeon,Noun,,Bir
Birideon,Birideon,Adjective,,Bir
Biringeon,Biringeon,Noun,,Bir
Biririan,Biririan,Verb,,Bir
Birlenseon,Birlenseon,Noun,,Bir
Birmaneon,Birmaneon,Noun,,
Birmaniomeon,Birmaniomeon,Noun,,
Birmaniopaon,Birmaniopeon,Noun,,
Bisitemeon,Bisitemeon,Noun,,
Bisiteon,Bisiteon,Noun,,
Bisitirian,Bisitirian,Verb,,
Bisitoftideon,Bisitoftideon,Adjective,,
Bisitoftirian,Bisitoftirian,Verb,,
Bisokasneon,Bisokasneon,Noun,,
Bisokasnirian,Bisokasnirian,Verb,,
Bisokeon,Bisokeon,Noun,,
Bisokideon,Bisokideon,Adjective,,
Bisokoserneon,Bisokoserneon,Noun,,
Bisokosernideon,Bisokosernideon,Adjective,,
Bisokosernirian,Bisokosernirian,Verb,,
Bisokpretsideon,Bisokpretsideon,Adjective,,
Biuragemeon,Biuragemeon,Noun,,
Biurageon,Biurageon,Noun,,
Biuragideon,Biuragideon,Adjective,,
Biuraseon,Biuraseon,Noun,,
Biurasirian,Biurasirian,Verb,,
Biurasnatseon,Biurasnatseon,Noun,,
Biurasnemeon,Biurasnemeon,Noun,,
Biurasneon,Biurasneon,Noun,,
Biurasnirian,Biurasnirian,Verb,,
Biuremaon,Biuremaon,Noun,,
Biureon,Biureon,Noun,,
Biurideon,Biurideon,Adjective,,
Biuroleteon,Biuroleteon,Noun,,
Bladreon,Bladreon,Noun,,
Blakemaon,Blakemaon,Noun,,"Blak,em"
Blakeon,Blakeon,Noun,,Blak
Blakingeon,Blakingeon,Noun,,
Blakirian,Blakirian,Verb,,
Blakiuleon,Blakiuleon,Adjective,,
Blankasnirian,Blankasnirian,Verb,,
Blankateon,Blankateon,Noun,,
Blankeon,Blankeon,Noun,,
Blankideon,Blankideon,Adjective,,
Blastaoyeon,Blastaoyeon,Noun,,
Blastaoyideon,Blastaoyideon,Adjective,,
Blastasirian,Blastasirian,Verb,,
Blastasnirian,Blastasnirian,Verb,,
Blastateon,Blastateon,Noun,,
Blasteon,Blasteon,Noun,,
Blastideon,Blastideon,Noun,,
Bleseon,Bleseon,Noun,,
Blesiesideon,Blesiesideon,Adjective,,
Blesirian,Blesirian,Verb,,
Bliuseon,Bliuseon,Noun,,
Blukeon,Blukeon,Noun,,
Blukingeon,Blukingeon,Noun,,
Blukirian,Blukirian,Verb,,
Blukofeon,Blukofeon,Noun,,
Boabeon,Boabeon,Noun,,
Bobemeon,Bobemeon,Noun,,
Bobideon,Bobideon,Adjective,,
Bobin,Bobin,Adverb,,
Bodeon,Bodeon,Noun,,
Bogalkeon,Bogalkeon,Noun,,
Bogeon,Bogeon,Noun,,
Bokaleon,Bokaleon,Noun,,
Bolateon,Bolateon,Noun,,
Boldemaon,Boldemaon,Noun,,
Boldeon,Boldeon,Noun,,
Boldideon,Boldideon,Adjective,,
Boldirian,Boldirian,Verb,,
Bolemeon,Bolemeon,Noun,,
Boleon,Boleon,Noun,,
Bolibeon,Bolibeon,Noun,,
Bolibiopaon,Bolibiopeon,Noun,,
Bolin,Bolin,Adverb,,Bol
Bolirian,Bolirian,Verb,,
Borbatemaon,Borbatemaon,Noun,,
Borbateon,Borbateon,Noun,,
Borbatirian,Borbatirian,Verb,,
Borbatlinkeon,Borbatlinkeon,Noun,,
Boriokeon,Boriokeon,Noun,,
Boriokideon,Boriokideon,Noun,,
Borsirian,Borsirian,Verb,,
Boteon,Boteon,Noun,,
Botideon,Botideon,Adjective,,
Boyalkeon,Boyalkeon,Noun,,
Boyeon,Boyeon,Noun,,
Boyideon,Boyideon,Adjective,,
Branchboyeon,Branchboyeon,Noun,,
Branchboyuribeon,Branchboyuribeon,Adjective,,
Brancheon,Brancheon,Noun,,
Brasileon,Brasileon,Noun,,
Brasiliopaon,Brasiliopeon,Noun,,
Brekadideon,Brekadideon,Adjective,,
Brekasirian,Brekasirian,Verb,,
Brekasiuleon,Brekasiuleon,Noun,,
Brekasiulideon,Brekasiulideon,Adjective,,
Brekeon,Brekeon,Noun,,
Brekesirian,Brekesirian,Verb,,
Brekirian,Brekirian,Verb,,
Brelaenirian,Brelaenirian,Verb,,
Brelagideon,Brelagideon,Adjective,,
Brelagirian,Brelagirian,Verb,,
Brelalkeon,Brelalkeon,Noun,,
Brelalkideon,Brelalkideon,Adjective,,
Brelalkirian,Brelalkirian,Verb,,
Brelasteon,Brelasteon,Noun,,
Brelastideon,Brelastideon,Adjective,,
Brelastupageon,Brelastupageon,Noun,,
Brelastupeon,Brelastupeon,Noun,,
Breleon,Breleon,Noun,,
Brelideon,Brelideon,Adjective,,
Breoteon,Breoteon,Noun,,
Breotirian,Breotirian,Verb,,
Brestemeon,Brestemeon,Noun,,
Bresteon,Bresteon,Noun,,
Bruneyeon,Bruneyeon,Noun,,
Bruneyiopaon,Bruneyiopeon,Noun,,
Brutalideon,Brutalideon,Adjective,,
Brutalin,Brutalin,Adverb,,
Bufunseon,Bufunseon,Noun,,
Bufunsirian,Bufunsirian,Verb,,
Bukalkeon,Bukalkeon,Noun,,
Bukatseon,Bukatseon,Noun,,
Bukemeon,Bukemeon,Noun,,
Bukeon,Bukeon,Noun,,
Bukupeon,Bukupeon,Noun,,
Bulebardeon,Bulebardeon,Noun,,
Bulgareon,Bulgareon,Noun,,
Bulgariomeon,Bulgariomeon,Noun,,
Bulgariopaon,Bulgariopeon,Noun,,
Bulkaneon,Bulkaneon,Noun,,
Bulkanideon,Bulkanideon,Adjective,,
Bumemeon,Bumemeon,Noun,,
Bumeon,Bumeon,Noun,,
Bumideon,Bumideon,Adjective,,
Bumirian,Bumirian,Verb,,
Bunribeon,Bunribeon,Noun,,
Bunribideon,Bunribideon,Adjective,,
Bunribupreon,Bunribupreon,Noun,,
Bunribupririan,Bunribupririan,Verb,,
Bunsekemaon,Bunsekemaon,Noun,,
Bunsekeon,Bunsekeon,Noun,,
Bunsekideon,Bunsekideon,Adjective,,
Bunsekirian,Bunsekirian,Verb,,
Bunyareon,Bunyareon,Noun,,
Buoteon,Buoteon,Noun,,
Busasirian,Busasirian,Verb,,
Busbeon,Busbeon,Noun,,
Busbirian,Busbirian,Verb,,
Buseon,Buseon,Noun,,
Busideon,Busideon,Adjective,,
Busirian,Busirian,Verb,,
But,But,Preposition,,
Butaneon,Butaneon,Noun,,
Butaniopaon,Butaniopeon,Noun,,
Butleon,Butleon,Noun,,
Buyadideon,Buyadideon,Adjective,,
