word,part of speech,definition,explanation,etymology (comma-separated)
Agdufortideon,Adjective,Enérgico,,Agak
Agirian,Verb,"Hacer, crear, formar","Se usa cuando se refiere a la creación de algo nuevo a partir de uno o más ingredientes excluyendo en su interacción original a un ser pensante (oxidación, putrefacción)",Ag
Ahakbasnirian,Verb,Sumergir,,"Ah, akb, asn"
Ahakbideon,Adjective,Subacuático,,"Ah, akb"
Ahakbugonemeon,Noun,"Buzo, buceador",,"Ah, akb"
Ahakbugoneon,Noun,"Sumersión, buceo, hundimiento",,"Ah, akb"
Ahakbugonirian,Verb,"Sumergir, bucear, hundir",,"Ah, akb"
Ahanbochemaon,Noun,Subcontratista,el que subcontrata,"Ah,anboch,em"
Ahanbocheon,Noun,"Subcontrato, subcontratación",,"ah,anboch"
Ahanbochiesemaon,Noun,Subcontratista,,"Ah,anboch,em"
Ahanbochirian,Verb,Subcontratar,,"Ah,anboch"
Ahatseon,Noun,Parte de abajo,,"Ah, ats"
Ahchuchakbufengonatseon,Noun,Manantial,,"Ah,chuch,akb,fen,gon"
Ahchuchemeon,Noun,"Subterráneo, subsuelo",,"Ah, chuch, em"
Ahchuchideon,Adjective,Subterráneo,,"Ah, chuch"
Ahchuchnekfreyatseon,Noun,Mazmorra,,"Ah, chuch, nek, frey, ats"
Ahchuchtrainboyeon,Noun,Metro,,"Ah, chuch, train, boy"
Ahgonatseon,Noun,Bajada,,"Ah, gon, ats"
Ahgonirian,Verb,Bajar (ir),,"Ah, gon"
Ahgrondakbatseon,Noun,Acuífero,,"Ah, grond, akb, ats"
Ahgrondakbeon,Noun,Agua subterránea,,"Ah, grond, akb"
Ahin,Adverb,"Abajo, debajo",,
Ahirian,Verb,Bajar,,
Ahmofirian,Verb,Bajar (mover),,
Ahmofirian,Verb,"Bajar, mover hacia abajo",,
Ahputirian,Verb,Bajar (poner),,
Aibeon,Noun,Caricia,,
Aibirian,Verb,Acariciar,,
Aideon,Noun,Idea,,Aid
Akbeon,Noun,Agua,,
Akbideon,Adjective,Acuático,,
Akbugonadideon,Adjective,Navegable,,
Akbugonemeon,Noun,Navegante,,
Akbugoneon,Noun,Navegación,,
Akbugonhaltatseon,Noun,Desembarcadero,,
Akbugonirian,Verb,Navegar,,
Akiuf,Preposition,"Aproximadamente, alrededor de",,
Akiufeon,Noun,Aproximación,,
Akiufideon,Adjective,Aproximado,,
Akiufin,Adverb,Aproximadamente,,
Akiufirian,Verb,Aproximar,,
Aksolotleon,Noun,Ajolote,,
Aktemon,Noun,Agente,,
Akteon,Noun,Acto,,
Aktingeon,Noun,"Acción, Actividad (falta poner activar)",,
Aktirian,Verb,Actuar,,
Alamadeon,Noun,Alameda,,
Alaskeon,Noun,Alaska,,
Alaskiopaon,Noun,"Alaskeño, alasqueño",,
Albaniyeon,Noun,Albania,,
Albaniyiomeon,Noun,Albanés,,
Albaniyiopaon,Noun,Albanés,,
Algayeon,Noun,Alga,,
Alobadideon,Adjective,Permisible,#VALUE!,
Alobeon,Noun,"Permiso, autorización",,
Alobirian,Verb,"Permitir, autorizar",,
Alobofeon,Noun,Licencia,,
Altrideon,Adjective,Otro,,
Altrin,Adverb,"De otro modo, de otra forma",,Altr
Altriomasnadosipeon,,Traducción,Producto de Traducir,"Altr,iom"
Altriomasnemaon,Noun,Traductor,Persona,"Altr,iom"
Altriomasnirian,Verb,Traducir,,"Altr,iom"
Altriomasnofeon,Noun,Traductor,,"Altr,iom"
Altrufaum,Adverb,"De otra forma, de otro modo",,"Altr,faum"
Altrun,Pronoun,Otro,,
Amanton,Noun,Amante (engaño amoroso),,
Amasnirian,Verb,Enamorar,,
Amechnasneon,Noun,Oficialización,,
Amechnasnirian,Verb,Oficializar,,
Amechnemsapiesasnirian,Verb,Oficiar,,
Amechnideon,Adjective,Oficial,,
Amemon,Noun,Amante (afición),,
Ameon,Noun,Amor,,
Amerbidon,Adjective,Amable (digno de amar),,
Amereon,Noun,Color Amarillo,,
Amergeon,Noun,Amargura,,
Amergideon,Adjective,Amargo,,
Amergirian,Verb,Amargar,,
Amergirideon,Adjective,Amargado,,
Amerideon,Adjective,Amarillo,,
Amerikeon,Noun,América,,
Amerikideon,Adjective,Americano,,
Amerikiopaon,Noun,Americano,,
Amerikogeon,Noun,Americanismo,,
Amideon,Adjective,Amoroso,,
Amikateon,Noun,Amistad,,
Amikeon,Noun,Amigo,,
Amikideon,Adjective,"Amistoso, amigable",,
Amikirian,Verb,Ser amigo,,
Amikiulideon,Adjective,Amable,,
Amin,Adverb,Con amor,,
Amingemeon,Adjective,Enamorado,,
Amirian,Verb,Amar,,
Amplateon,Noun,Anchura,,
Ampleon,Noun,Ancho,,
Amplideon,Adjective,Ancho,,
Amusasirian,Verb,Divertirse,,
Amuseon,Noun,Diversión,,
Amusideon,Adjective,Divertido,,
Amusirian,Verb,Divertir,,
Amusofeon,Noun,Juguete,,
Anbocheon,Noun,"Contrato, contratación",,Anboch
Anbochirian,Verb,Contratar,,Anboch
Anborteon,Noun,Respuesta,Usado cuando no se refiere a una pregunta,Anbort
Anbortirian,Verb,"Responder, contestar, atender",Usado cuando no se está contestando una pregunta,Anbort
Anbulanseon,Noun,Ambulancia,,
Andoreon,Noun,Andorra,,
Andoriopaon,Noun,Andorrano,,
Aneon,Noun,Adquisición,,
Angilaheon,Noun,Categoría,,
Angilahideon,Adjective,Categórico,,
Angleon,Noun,Inglaterra,,
Anglideon,Adjective,Inglés,,
Angliomeon,Noun,Inglés (idioma),,
Angliopaon,Noun,Inglés (origen),,
Angoreon,Noun,"Clave, código, encriptación",,Angor
Angoriesideon,Adjective,"Encriptado, en clave, codificado, cifrado",,Angor
Angoririan,Verb,"Encriptar, cifrar",,Angor
Angormoneteon,Noun,"Cripto, cripto moneda, criptomoneda",,"Angor,monet"
Animaleon,Noun,Animal,,
Animalideon,Adjective,Animal,,
Anirian,Verb,Adquirir,,
Ank,Preposition,Contra,,
Ankeon,Noun,Contradicción,,
Ankideon,Adjective,Contrario,,
Ankin,Adverb,Al contrario,,
Anshimadeon,Noun,Relajación,,
Anshimadideon,Adjective,Relajado,,
Anshimadirian,Verb,Relajar,,
Anskaenideon,Adjective,Cancerígeno,,
Anskeon,Noun,Cáncer,,
Anuseon,Noun,Ano,,Anus
Anusideon,Adjective,Anal,,Anus
Anyagemsdaemandeon,Noun,Materialismo,,
Anyagemsdaemandideon,Adjective,Materialista,,
Anyageon,Noun,Material,,
Anyagideon,Noun,Material,,
Aos,Adjective,"Suyo (de ella), su",,
Aoyeon,Noun,Azul,,
Aoyideon,Adjective,Azul,,
Aparlenbatseon,Noun,Apartamento,,
Apeon,Noun,Abeja,,
Apleon,Noun,Manzana,,
Aplubaumeon,Noun,Manzano,,
Aponteon,Noun,"Colmena, Panal",,
Apreon,Noun,Apertura,,
Aprideon,Verb,Abierto,,
Apririan,Noun,Abrir,,
Aprobeon,Noun,Aprobación,,
Aprobirian,Verb,Aprobar,,
Aprofeon,Noun,Abridor,,
Aprumonateon,Noun,Abril,,
Ara,Conjunction,Y,,
Arabeon,Noun,Arabia,,
Arabideon,Adjective,"Árabe, arábico, arábigo",,
Arabiomeon,Noun,Árabe,,
Aranemeon,Noun,"Telaraña, Tela de Araña",,
Araneon,Noun,Araña,,
Aranseteon,Noun,Telaraña,,
Aras,Adverb,"Aquí, acá",,
Arasgoneon,Noun,Venida,,
Arasgonirian,Verb,"Venir, ir acá",,
Arastin,Adverb,"Aquí, acá",,
Aratadideon,Adjective,"Presentable, mostrable",,
Aratasneon,Noun,Exposición,,
Aratasnideon,Adjective,Expuesto,,
Aratasnirian,Verb,Exponer,,
Arateon,Noun,Muestra,,
Aratirian,Verb,Mostrar,,
Arats,Adverb,"Allí, allá",,
Aratsin,Adverb,"Allí, allá",,
Ardeon,Noun,Ardilla,,
Aremeon,Noun,Superficie,,
Aremideon,Adjective,Superficial,,
Aremin,Adverb,Superficialmente,,
Argentineon,Noun,Argentina,,
Argentiniopaon,Noun,Argentino,,
Argonatseon,Noun,Subida,,
Arheon,Noun,Arco,,
Arhformasnirian,Verb,Arquear,,
Arhformideon,Adjective,Arqueado,,
Aribatseon,Noun,Punto de destino,,
Aribeon,Noun,Llegada,,
Aribirian,Verb,Llegar,,
Arideon,Adjective,Superior,,
Arin,Adverb,Arriba,,
Armeniyeon,Noun,Armenia,,
Armeniyiomeon,Noun,Armenio,,
Armeniyiopaon,Noun,Armenio,,
Armofirian,Verb,"Subir, mover hacia arriba",,
Aroseon,Noun,Excitación,,
Arosideon,Adjective,"Ardiente, excitante",,
Arosirian,Verb,Excitar,,
Artemaon,Noun,Artista,,
Artemeon,Noun,Obra de arte,,
Arteon,Noun,Arte,,
Artideon,Adjective,Artístico,,
Asdakeon,Noun,Culo,,
Asdiyideon,Adjective,Actual,,
Asdiyin,Adverb,Hoy,,
Aserbaiyaneon,Noun,Azerbaiyán,,
Aserbaiyaniomeon,Noun,"Azerí, azerbaiyano",,
Aserbaiyaniopaon,Noun,Azerbaiyano,,
Asfaum,Adverb,"De esa forma, así",,
Asiideon,Adjective,Asiático,,
Asiiopaon,Adjective,Asiático (Origen),,
Asireon,Noun,Asia,,
Askrin,Adverb,"Ahora, ya",,
Askroneon,Noun,Ahora,,
Askronin,Adverb,Ahora mismo,,
Askrun,Adverb,Ahora,,
Asneon,Noun,Transformación,,
Asnideon,Adjective,Transformador,,
Asnirian,Verb,"Transformar, convertir",,
Asnofeon,Noun,Transformador,,
Aspilantin,Adverb,En este momento,,
Astan,Pronoun,A ella,,
Astas,Adverb,Alrededor,,
Astasdubarideon,Adjective,Amurallado,,
Astaseon,Noun,Alrededores,,
Astasestradeon,Noun,Ronda (Madrid),,
Astasgurmestradeon,Noun,Carretera de circunvalación,,"Astas,gurm,estrad"
Astasin,Adverb,Alrededor,,
Astaslengeon,Noun,Abrazo,,
Astaslengirian,Verb,Abrazar,,
Astel,Pronoun,"Esto, esta, este",,Astel
Astopar,Adverb,"Por esta razón, por esto",,
Astopin,Adverb,"Por esta razón, por esto",,
Astreon,Noun,Astro,,
Astrernemaon,Noun,Astrólogo,,
Astrerneon,Noun,Astrología,,
Astrernideon,Adjective,Astrológico,,
Astrideon,Adjective,Astral,,
Atakemeon,Noun,Atacante,,
Atakemideon,Adjective,Atacante,,
Atakeon,Noun,Ataque,,
Atakideon,Adjective,Atacante,,
Atakirian,Verb,Atacar,,
Atsel,Pronoun,"Ese, esa, eso",,
Atsfaum,Adverb,"De esta forma, así",,
Atskrin,Adverb,"Entonces, así que",,
Atskrun,Adverb,"Entonces, así que",,
Atsopar,Adverb,"Por esa razón, por eso, por ese motivo",,"Ats,sopar"
Atsopin,Adverb,"Por esa razón, por eso",,
Augustusmonateon,Noun,Agosto,,
Ayaiyeon,Noun,Emergencia,,
Aye,Pronoun,Yo,,
Ayeos,"Adjective, Adverb","Mi, Mío",,
Ayusteon,Noun,Ajuste,,
Ayustirian,Verb,Ajustar,,
Ba,Conjunction,Pero,,
Badirian,Verb,Bañar,,
Badofeon,Noun,Bañera,,
Badrobeon,Noun,"Albornoz, bata de baño",,
Badrumeon,Noun,Baño,,
Baerdeon,Noun,Ganado,,
Baerdideon,Noun,Ganadero,,
Baerdugonatseon,Noun,"Vía pecuaria, cabañera",,
Baerduhadabachemaon,Noun,Ganadero,,
Baerduhadabacheon,Noun,Ganadería,,
Baerduhadabachideon,Adjective,Ganadero,,
Baerduhlidateon,Noun,Rabadán,,
Bageon,Noun,Bolsa,,
Bagneon,Noun,Vagina,,
Bagnideon,Adjective,Vaginal,,
Bahameon,Noun,Bahamas,,
Bahamiopaon,Noun,Bahameño,,
Baishpilasneon,Noun,Ejemplificación,,
Baishpilasnirian,Verb,Ejemplificar,,
Baishpileon,Noun,Ejemplo,,
Baishpilideon,Adjective,Ejemplar,,
Bakeon,Noun,Epicidad,,
Bakideon,Adjective,Épico,,
Bakin,Adverb,Épicamente,,
Baklagirian,Noun,Formación de palabras,,
Baklasneon,Noun,Verbalización,,
Baklasnirian,Verb,Verbalizar,,
Bakleon,Noun,Palabra,,
Baklideon,Adjective,Verbal,,Bakl
Baklin,Adverb,Verbalmente,,Bakl
Baklubukeon,Noun,Diccionario,,
Baklupeon,Noun,Vocabulario,,
Baleon,Noun,"Bola, pelota, balón",,
Balistemon,Noun,Ballestero,,
Balisteon,Noun,Ballesta,,
Balpideon,Noun,Fútbol,,
Bananeon,Noun,"Plátano, banana",,
Banchadideon,Adjective,"Numerable, contable",,
Bancheon,Noun,Número,,
Banchideon,Adjective,Numérico,,
Banchirian,Verb,"Numerar, contar",,
Banchumideon,Adjective,Numeroso,,
Bangladesheon,Noun,Bangladesh,,
Bangladeshiopaon,Noun,Bangladesí,,
Bankemon,Noun,Banquero,,
Bankeon,Noun,Banco,,
Bankideon,Adjective,Bancario,,
Banseon,Noun,Culo,,
Barbadeon,Noun,Barbados,,
Barbadiopaon,Noun,Barbadense,,
Barbikureon,Noun,Asado,,
Bareineon,Noun,Baréin,,
Bareiniopaon,Noun,Bareiní,,
Baremeon,Noun,"Cerca, valla",,
Barempikeon,Noun,Reputación,,
Bareon,Noun,Barrera,,
Baririan,Verb,Cercar,,
Barkambrupeon,Noun,Tripulación,,
Barkandon,Noun,Capitán,,
Barkbeiseon,Noun,Base naval,,
Barkeon,Noun,Barco,,
Barkideon,Adjective,Naval,,
Barkin,Adverb,"Navalmente, por vía marítima",,
Barksakatseon,Noun,Astillero,,
Barkupeon,Noun,Flota,,
Barmeon,Noun,Calidez,,
Barmideon,Adjective,Cálido,,
Barmin,Adverb,Cálidamente,,
Barmirian,Verb,Estar cálido,,
Barmumeon,Noun,Calor,,
Barmumideon,Adjective,Caliente,,
Barsasnirian,Verb,"Fingir, aparentar",,
Barseon,Noun,Apariencia,,
Barsideon,Adjective,Aparente,,
Barsin,Adverb,"Aparentemente, al parecer",,
Barsirian,Verb,"Parecer, aparentar",,
Bas-haltatseon,Noun,"Paradero, parada (de bus)",,
Basdraboyeon,Noun,Carril de buses,,
Baseon,Noun,Bus,,
Bashadideon,Adjective,Lavable,,
Basheon,Noun,Lavado,,
Bashirian,Verb,Lavar,,
Bastumeon,Noun,Bastón,,
Bastumucheon,Noun,Bastonazo,,
Batikanmatseon,Noun,Ciudad del Vaticano,,
Batikanmatsiopaon,Noun,Vaticano,,
Bau,Preposition,"Acerca de, sobre",,
Bauken?,Adverb,¿Sobre qué?,,"Bau,Ken"
Baumemon,Noun,Leñador,,
Baumeon,Noun,Árbol,,
Baumideon,Adjective,Forestal,,
Baumupeon,Noun,Bosque,,
Baumupufogeon,Noun,Incendio forestal,,
Baye,Conjunction,Sino,,
Beabatseon,Noun,"Bar, pub, taberna",,Beab
Beabirian,Verb,"Beber, tomar",,Beab
Beabiulon,Noun,Borracho,,Beab
Beabofeon,Noun,Bebida,,Beab
Bedeon,Noun,Cama,,
Bedukaosofeon,Noun,Cubrecama,,
Befelasnirian,Verb,Ejecutar un comando,,Befel
Befeleon,Noun,Comando,Informática,Befel
Befeligeon,Noun,"Aplicación, programa",Digita,"Befel,ig"
Befelupeon,Noun,Programa,,Befel
Begasnirian,Verb,Empezar,,
Begemeon,Noun,"Principiante, novato",,"beg,em"
Begeon,Noun,"Inicio, principio",,
Begideon,Adjective,Inicial,,
Begin,Adverb,"Inicialmente, en un principio",,
Begirian,Verb,Iniciar,,
Beiseon,Noun,"Base, raíz (palabras)",,
Beisideon,Adjective,Básico,,
Beisirian,Verb,Basar,,
Belaruseon,Noun,Bielorrusia,,
Belarusiomeon,Noun,Bielorruso,,
Belarusiopaon,Noun,Bielorruso,,
Belbadeon,Noun,Credibilidad,,
Belbadideon,Adjective,Creíble,,
Belbemaon,Noun,Creyente,,
Belbeon,Noun,Creencia,,
Belberbideon,Adjective,Creíble,,
Belbingideon,Adjective,Creyente,,
Belbirian,Verb,Creer en,,Belb
Belbiuleon,Noun,Credulidad,,
Belbiulideon,Adjective,Crédulo,,
Belgiyeon,Noun,Bélgica,,
Belgiyiopaon,Noun,Belga,,
Beliseon,Noun,Belice,,
Belisiopaon,Noun,Beliceño,,
Belosipedemaon,Noun,Ciclista,,
Belosipedeon,Noun,Bicicleta,,
Belosipedirian,Verb,Ir en bicicleta,,
Belosipeduboyeon,Noun,Ciclovía,,
Belteon,Noun,Cinturón,,
Benesaleon,Noun,Venezuela,,
Benesaliopaon,Noun,Venezolano,,
Benpatseon,Noun,"Armería, arsenal",,
Benpeon,Noun,Arma,,
Benpupeon,Noun,Armamento,,
Bensemeon,Noun,Ganador,,
Bensemeon,Noun,"Ganador, vencedor",,
Bensemideon,Adjective,Victorioso,,
Benseon,Noun,Victoria,,
Bensirian,Verb,"Ganar, vencer, derrotar",,
Benuseon,Noun,Venus,,
Beremeon,Noun,Veracidad,,
Beremideon,Adjective,Veraz,,
Bereon,Adjective,Verdad,,
Berideon,Adjective,Verdadero,,
Berin,Adverb,"Verdaderamente, de veras",,
Berkosadideon,Adjective,Verificable,,
Berkosemaon,Noun,Supervisor,,
Berkoseon,Noun,Verificación,,
Berkosirian,Verb,Verificar,,
Berneon,Noun,Verano,,
Bernideon,Adjective,Veraniego,,
Bernisideon,Adjective,"Insistente, persistente",,Bernis
Bernisirian,Verb,"Seguir, persistir, insistir",,Bernis
Berukereon,Noun,Crédito,,
Berukeringeon,Noun,Acreditación,,
Berukeririan,Verb,Acreditar,,
Besteon,Noun,"Oeste, occidente",,
Bestideon,Adjective,Occidental,,
Bestin,Adverb,"Al occidente, al oeste",,
Bideon,Noun,Video,,
Biechnameon,Noun,Vietnam,,
Biechnamiomeon,Noun,Vietnamita,,
Biechnamiopaon,Noun,Vietnamita,,
Bikieralkeon,Noun,Vasito,,
Bikiereon,Noun,Vaso,,
Bikineon,Noun,Bikini,,
Bileteon,Noun,Boleto,,
Bileturatseon,Noun,"Boletería, caja",,
Bileturemaon,Noun,Cajero,,
Bilmoneteon,Noun,Billete,,
Bilmonetonteon,Noun,Billetera,,
Bilnemeon,Noun,Vecindad,,
Bilneon,Noun,Vecino,,
Bilnideon,Adjective,Vecino,,
Bipeon,Noun,Tarjeta,,
Biponteon,Noun,Tarjetero,,
Biradasnirian,Verb,"Escenificar, Visibilizar",,Bir
Biradeon,Noun,Visibilidad,,Bir
Biradideon,Adjective,Visible,,Bir
Biraseon,Noun,Apariencia,,Bir
Birasirian,Verb,Aparentar,,Bir
Birasnemeon,Noun,Monitor,,Bir
Birasnirian,Verb,"Mostrar, enseñar",,Bir
Biremeon,Noun,Testigo,,Bir
Biremeon,Noun,Vista,,Bir
Bireon,Noun,Vista,,Bir
Birerbemeon,Noun,Atracción,,Bir
Birideon,Adjective,Visual,,Bir
Biringeon,Noun,Visualización,,Bir
Biririan,Verb,Ver,,Bir
Birlenseon,Noun,Lentes ópticos,,Bir
Birmaneon,Noun,Birmania,,
Birmaniomeon,Noun,Birmano,,
Birmaniopaon,Noun,Birmano,,
Bisitemeon,Noun,"Visitante, visita",,
Bisiteon,Noun,Visita,,
Bisitirian,Verb,Visitar,,
Bisitoftideon,Adjective,Frecuentado,,
Bisitoftirian,Verb,Frecuentar,,
Bisokasneon,Noun,"Subida, elevación",,
Bisokasnirian,Verb,"Subir, elevar",,
Bisokeon,Noun,Altura,,
Bisokideon,Adjective,Alto,,
Bisokoserneon,Noun,Exclamación,,
Bisokosernideon,Adjective,Exclamativo,,
Bisokosernirian,Verb,Exclamar,,
Bisokpretsideon,Adjective,"Costoso, caro",,
Biuragemeon,Noun,"Hermosura, preciosura",,
Biurageon,Noun,Hermosura,,
Biuragideon,Adjective,"Hermoso, precioso",,
Biuraseon,Noun,Embellecimiento,,
Biurasirian,Verb,Embellecerse,,
Biurasnatseon,Noun,Instituto de Belleza,,
Biurasnemeon,Noun,"Hermoseador,  adorno",,
Biurasneon,Noun,Embellecimiento,,
Biurasnirian,Verb,Embellecer,,
Biuremaon,Noun,"Guapo, Bello",,
Biureon,Noun,Belleza,,
Biurideon,Adjective,"Lindo, bello, bonito",,
Biuroleteon,Noun,Mariposa,,
Bladreon,Noun,Vejiga,,
Blakemaon,Noun,Hablante,,"Blak,em"
Blakeon,Noun,Habla,,Blak
Blakingeon,Noun,Discurso,,
Blakirian,Verb,Hablar,,
Blakiuleon,Adjective,Hablador,,
Blankasnirian,Verb,Blanquear,,
Blankateon,Noun,Blancura,,
Blankeon,Noun,Blanco,,
Blankideon,Adjective,Blanco,,
Blastaoyeon,Noun,Celeste,,
Blastaoyideon,Adjective,Celeste,,
Blastasirian,Verb,Aclararse,,
Blastasnirian,Verb,Aclarar,,
Blastateon,Noun,Claridad,,
Blasteon,Noun,Brillo,,
Blastideon,Noun,Claro (Tono),,
Bleseon,Noun,Bendición,,
Blesiesideon,Adjective,Bendito,,
Blesirian,Verb,Bendecir,,
Bliuseon,Noun,Blusa,,
Blukeon,Noun,Bloque,,
Blukingeon,Noun,Bloqueo,,
Blukirian,Verb,Bloquear,,
Blukofeon,Noun,Tranca,,
Boabeon,Noun,Baya,,
Bobemeon,Noun,Tontería,,
Bobideon,Adjective,Tonto,,
Bobin,Adverb,Tontamente,,
Bodeon,Noun,"Bote, barca",,
Bogalkeon,Noun,Dardo,,
Bogeon,Noun,Flecha,,
Bokaleon,Noun,Copa (para líquidos),,
Bolateon,Noun,Gana,,
Boldemaon,Noun,Atrevido,,
Boldeon,Noun,Atrevimiento,,
Boldideon,Adjective,"Atrevido, valiente",,
Boldirian,Verb,Atreverse,,
Bolemeon,Noun,Voluntario,,
Boleon,Noun,Voluntad,,
Bolibeon,Noun,Bolivia,,
Bolibiopaon,Noun,Boliviano,,
Bolin,Adverb,"Con querer, con gusto",,Bol
Bolirian,Verb,Querer,,
Borbatemaon,Noun,Ladrón,,
Borbateon,Noun,Robo,,
Borbatirian,Verb,Robar,,
Borbatlinkeon,Noun,Phishing,,
Boriokeon,Noun,Violencia,,
Boriokideon,Noun,Violento,,
Borsirian,Verb,Valer la pena,,
Boteon,Noun,"Bot, robot",,
Botideon,Adjective,Robótico,,
Boyalkeon,Noun,Sendero,,
Boyeon,Noun,Camino,,
Boyideon,Adjective,Vial,,
Branchboyeon,Noun,Ramal,,
Branchboyuribeon,Adjective,Afluente,,
Brancheon,Noun,Rama,,
Brasileon,Noun,Brasil,,
Brasiliopaon,Noun,Brasileño,,
Brekadideon,Adjective,Frágil,,
Brekasirian,Verb,Romperse,,
Brekasiuleon,Noun,Fragilidad,,
Brekasiulideon,Adjective,Frágil,,
Brekeon,Noun,Rotura,,
Brekesirian,Verb,Estar roto,,
Brekirian,Verb,Romper,,
Brelaenirian,Verb,Abrillantar,,
Brelagideon,Adjective,Resplandeciente,,
Brelagirian,Verb,Resplandecer,,
Brelalkeon,Noun,Centelleo,,
Brelalkideon,Adjective,Centelleante,,
Brelalkirian,Verb,Centellear,,
Brelasteon,Noun,Estrella,,
Brelastideon,Adjective,Estelar,,
Brelastupageon,Noun,Cúmulo de Estrellas,,
Brelastupeon,Noun,Constelación,,
Breleon,Noun,Brillo,,
Brelideon,Adjective,Brillante,,
Breoteon,Noun,Brote,,
Breotirian,Verb,Brotar,,
Brestemeon,Noun,Pechuga,,
Bresteon,Noun,"Pecho, seno, mama",,
Bruneyeon,Noun,"Brunéi, Brunei, Bruney",,
Bruneyiopaon,Noun,Bruneano,,
Brutalideon,Adjective,Brutal,,
Brutalin,Adverb,Brutalmente,,
Bufunseon,Noun,Falla,,
Bufunsirian,Verb,Fallar,,
Bukalkeon,Noun,Libreto,,
Bukatseon,Noun,"Librería, biblioteca",,
Bukemeon,Noun,Librero,,
Bukeon,Noun,Libro,,
Bukupeon,Noun,"Librería, biblioteca",,
Bulebardeon,Noun,Boulevard,,
Bulgareon,Noun,Bulgaria,,
Bulgariomeon,Noun,Búlgaro,,
Bulgariopaon,Noun,Búlgaro,,
Bulkaneon,Noun,Volcán,,
Bulkanideon,Adjective,Volcánico,,
Bumemeon,Noun,Destructor,,
Bumeon,Noun,Destrucción,,
Bumideon,Adjective,"Destructor, destructivo",,
Bumirian,Verb,Destruir,,
Bunribeon,Noun,Cantidad,,
Bunribideon,Adjective,Cuantitativo,,
Bunribupreon,Noun,Multiplicación,,
Bunribupririan,Verb,Multiplicar,,
Bunsekemaon,Noun,Analista,,
Bunsekeon,Noun,Análisis,,
Bunsekideon,Adjective,Analítico,,
Bunsekirian,Verb,Analizar,,
Bunyareon,Noun,Campo,,
Buoteon,Noun,Bota,,
Busasirian,Verb,Ocuparse,,
Busbeon,Noun,Aparición,,
Busbirian,Verb,Aparecer,,
Buseon,Noun,Ocupación,,
Busideon,Adjective,"Ocupado, no disponible",,
Busirian,Verb,Ocupar,,
But,Preposition,Entre (dos cosas),,
Butaneon,Noun,Bután,,
Butaniopaon,Noun,Butanés,,
Butleon,Noun,Nalga,,
Buyadideon,Adjective,"En venta, comprable",,
Buyanirian,Verb,Adquirir,,
Buyemeon,Noun,"Adquisición, compra",,
Buyemon,Noun,"Cliente, comprador",,
Buyeon,Noun,Compra,,
Buyingeon,Noun,Compra,,
Buyirian,Verb,Comprar,,
Buyogenideon,Adjective,Malaconsejado,,
Buyogenirian,Verb,Malaconsejar,,
Buyoseyiesideon,Adjective,Mal educado,,
Chaels-hanusemaon,Noun,Zurdo,,"Chaels,han,us,em"
Chaelsideon,Adjective,Izquierda,,Chaels
Chaelsin,Adverb,A la izquierda,,Chaels
